time,WMA_daily_5_close,Company,WMA_daily_10_close,"FAMA_MAMA_daily_close_(0.1, 0.1)","MAMA_daily_close_(0.1, 0.1)","FAMA_MAMA_daily_close_(0.25, 0.25)","MAMA_daily_close_(0.25, 0.25)"
2020-12-16,133.4907,ABNB,,,,,
2020-12-17,137.3907,ABNB,,,,,
2020-12-18,144.5513,ABNB,,,,,
2020-12-21,152.4153,ABNB,,,,,
2020-12-22,158.1347,ABNB,,,,,
2020-12-23,159.568,ABNB,151.6133,,,,
2020-12-24,158.61,ABNB,153.1238,,,,
2020-12-28,155.186,ABNB,153.3884,,,,
2020-12-29,152.6487,ABNB,153.6575,,,,
2020-12-30,150.456,ABNB,153.2775,,,,
2020-12-31,148.704,ABNB,152.1715,,,,
2021-01-04,145.1493,ABNB,149.5144,,,,
2021-01-05,145.6907,ABNB,148.6645,,,,
2021-01-06,144.4353,ABNB,146.9729,,,,
2021-01-07,146.4953,ABNB,147.1949,,,,
2021-01-08,147.866,ABNB,147.3609,,,,
2021-01-11,148.492,ABNB,147.3785,,,,
2021-01-12,152.7427,ABNB,149.8218,,,,
2021-01-13,159.2233,ABNB,153.7215,,,,
2021-01-14,167.3927,ABNB,159.1685,,,,
2021-01-15,169.87,ABNB,161.9907,,,,
2021-01-19,172.5207,ABNB,165.208,,,,
2021-01-20,169.514,ABNB,165.6409,,,,
2021-01-21,172.6287,ABNB,169.2042,,,,
2021-01-22,175.5393,ABNB,172.3505,,,,
2021-01-25,176.912,ABNB,174.1515,,,,
2021-01-26,182.804,ABNB,178.2131,,,,
2021-01-27,190.2627,ABNB,183.0109,,,,
2021-01-28,190.4667,ABNB,184.5496,72.76,155.6403,152.5801,184.5352
2021-01-29,188.9593,ABNB,185.0924,77.0439,158.4393,156.5462,184.3089
2021-02-01,186.2713,ABNB,184.9982,81.2237,160.6393,159.8956,183.3417
2021-02-02,182.966,ABNB,184.47,85.2871,162.4924,162.696,182.2987
2021-02-03,182.7487,ABNB,185.0331,89.2635,164.8152,165.2533,183.1541
2021-02-04,186.9267,ABNB,186.9945,93.196,167.9137,167.886,186.3155
2021-02-05,190.3793,ABNB,188.5869,97.0689,170.6533,170.4708,188.5642
2021-02-08,194.76,ABNB,190.8658,100.897,173.631,173.1033,191.5306
2021-02-09,197.6247,ABNB,192.6284,104.6649,176.2559,175.6676,193.618
2021-02-10,203.0353,ABNB,196.4029,108.4215,179.7963,178.4752,198.1285
2021-02-11,208.4433,ABNB,200.93,112.1755,183.5006,181.5166,202.8064
2021-02-12,211.062,ABNB,204.1649,115.8876,186.4186,184.4864,205.2748
2021-02-16,211.5827,ABNB,206.3589,119.5314,188.7627,187.2282,206.4211
2021-02-17,208.8413,ABNB,206.5816,123.0589,190.0825,189.4879,205.3058
2021-02-18,204.6547,ABNB,205.6773,126.4499,190.8782,191.2381,203.4894
2021-02-19,202.386,ABNB,205.0998,129.7223,191.8974,192.6939,202.8845
2021-02-22,199.2587,ABNB,203.3847,132.8482,192.2416,193.732,200.9984
